,timestamp,close,volume,ret,rw_mean,rw_std,zscore,ema_fast,ema_slow,mom,ret_sign,ret_sign_sum,ret_lag1,ret_lag2,ret_lag3,labels,weights,t1
333,2025-10-28 14:45:11.884,25648.128559999997,0.05115,-8.907790482887765e-06,-2.191088534564092e-05,3.174653051936078e-05,0.4095910629442943,114533.40831094801,114581.83865626734,-48.4303453193279,-1.0,-13.0,-9.169701437708078e-06,-3.7289252957666364e-05,-3.3008998098653605e-05,-1.0,0.8136847912030015,334.0
334,2025-10-28 14:45:11.901,25645.095680000013,0.05614,-3.502061216642604e-05,-2.2356274869785306e-05,3.148435529887736e-05,-0.40224222035280965,114530.79799561962,114579.3521429471,-48.55414732747886,-1.0,-13.0,-8.907790482887765e-06,-9.169701437708078e-06,-3.7289252957666364e-05,-1.0,0.8137190604975335,364.0
339,2025-10-28 14:45:12.372,25647.33200000001,0.13257,-7.1615464085546776e-06,-2.147121794007302e-05,2.1799538196337935e-05,0.6564208663795263,114519.11189526797,114567.34513870979,-48.23324344182038,-1.0,-15.0,-1.5720399077803852e-06,0.0,0.0,-1.0,0.8137486995083106,364.0
364,2025-10-28 14:45:12.433,25641.454000000027,0.05107,-5.720687146036121e-05,4.3668120322416134e-09,1.9528945998096034e-08,-2929.5609848977997,114501.56648244575,114529.26614587527,-27.699663429521024,1.0,0.0,8.733624064485937e-08,0.0,0.0,-1.0,0.8138100903818725,368.0
367,2025-10-28 14:45:12.680,25644.51864000001,0.05014,-2.7077259237418463e-06,-5.515588048728606e-06,1.6989680204709577e-05,0.16526869611737693,114498.36002624936,114525.46596003063,-27.10593378127669,-1.0,-1.0,-8.734587557227786e-08,-5.310487987928345e-05,-5.720687146036121e-05,-1.0,0.8138684176581112,368.0
372,2025-10-28 14:45:12.783,25633.32088,0.07805,-9.679019100119144e-05,-8.756225185322575e-06,2.5514146737861543e-05,-3.450398183611996,114490.81882947947,114518.40155694654,-27.58272746707371,1.0,-6.0,5.1975517359155614e-05,-2.4197341639319847e-05,-2.9525205005662788e-05,-1.0,0.8140246836694637,376.0
373,2025-10-28 14:45:12.783,25641.12000000001,0.05672,1.493844769908928e-05,-1.3595734735382145e-05,3.209636198070515e-05,0.8890161063296981,114488.72846476715,114516.77757147288,-28.049106705730082,-1.0,-5.0,-9.679019100119144e-05,5.1975517359155614e-05,-2.4197341639319847e-05,-1.0,0.8140360352222015,374.0
378,2025-10-28 14:45:12.924,25637.228080000015,0.0831,-1.3542186466661243e-05,-1.8378923285892763e-05,3.489763175818126e-05,0.13859786250606915,114477.74115679349,114508.25283065106,-30.51167385757435,1.0,-8.0,1.9745442800557243e-05,-3.0229590245405254e-05,-4.350803733057324e-05,1.0,0.8141202540136825,379.0
388,2025-10-28 14:45:12.990,25638.481840000008,0.0718,-7.863155580589251e-07,-1.273231735883775e-05,3.318147507639531e-05,0.360020225294075,114465.14244159641,114493.94504035608,-28.802598759662942,0.0,-6.0,0.0,0.0,0.0,-1.0,0.8141301292630659,389.0
389,2025-10-28 14:45:13.038,25637.08584,0.06714,-1.2668502551434088e-05,-9.753733760625171e-06,3.130180654962846e-05,-0.0931182190129997,114464.44506620627,114492.76061280341,-28.315546597135835,-1.0,-5.0,-7.863155580589251e-07,0.0,0.0,-1.0,0.8141402640387033,393.0
393,2025-10-28 14:45:13.520,25632.68688000001,0.05832,-4.840389468808156e-05,-5.4602978738459516e-06,1.8575754663762865e-05,-2.311808990040733,114461.7810720485,114488.21770013968,-26.436628091178136,0.0,-5.0,0.0,0.0,0.0,-1.0,0.8141667837479523,397.0
